Name,Audiobooks & Podcasts,Count,Episodes
Front-end,"The 4-Hour Workweek (https://www.notion.so/The-4-Hour-Workweek-27dc9c9fc3058154baeae1f25475f31b?pvs=21), Ep-1 A mágica do Transition (https://www.notion.so/Ep-1-A-m-gica-do-Transition-27fc9c9fc305807c9b99d7e0de2784c9?pvs=21)",2,
Favorites,,0,
Technology & Science,"Lex Fridman Podcast (https://www.notion.so/Lex-Fridman-Podcast-27dc9c9fc30581069af8f9267c95b50f?pvs=21), The Joe Rogan Experience (https://www.notion.so/The-Joe-Rogan-Experience-27dc9c9fc30581fb8a33c074ec2ac3f0?pvs=21), Ep-1 A mágica do Transition (https://www.notion.so/Ep-1-A-m-gica-do-Transition-27fc9c9fc305807c9b99d7e0de2784c9?pvs=21)",3,
